Price,Place,Beds,Bath,Sq.Ft
220000,Beltline,1,1,627
298800,Mckenzie Towne,2,2,851
675500,Riverbend,3,2.5,1809
775000,Cranston,4,3.5,2239
1149900,Springbank Hill,3,2.5,2544
760000,West Springs,4,3.5,1890
949900,Nolan Hill,4,3.5,2530
1750000,Willow Park,5,3.5,2618
249900,Bridlewood,2,1,846
579000,Mount Pleasant,4,4,1012
949900,Rosscarrock,4,4.5,1882
299800,Skyview Ranch,2,2,841
749900,Mckenzie Towne,4,3.5,2120
299900,Montgomery,1,1,788
873000,Bankview,3,3.5,2884
329000,Skyview Ranch,2,2,867
499900,Somerset,4,2,979
480000,Cedarbrae,3,2,1138
649000,Montgomery,3,2.5,1167
309990,Copperfield,2,2,738
449000,Erlton,2,2,1077
699800,Beltline,2,2,901
749900,Copperfield,5,3.5,2432
329000,Millrise,2,2,870
349900,Seton,2,2,849
650000,Coach Hill,3,2,1222
1163900,Rocky Ridge,3,3,2619
334900,Coventry Station,2,2,723
235000,Thorncliffe,2,1,791
1325000,Renfrew,6,4.5,2814
359900,Chinatown,1,1,500
259999,Taradale,2,1,570
314800,Springbank Hill,2,2,838
350000,Bridgeland/Riverside,2,2,843
875000,South CA,3,3.5,1686
835000,Carrington,3,2.5,2327
250000,Beltline,2,1,838
850000,Strathcona Park,5,2.5,1313
249900,Dalhousie,2,1,785
649900,Riverbend,3,2.5,1647
539900,Bowness,3,1,933
269900,Vista Heights,3,1,1012
749900,Eau Claire,1,2,1127
935000,Yorkville,4,3.5,2337
488884,Ogden,4,2,949
540000,Midnapore,4,2,1078
464900,Martindale,3,2,1078
1648888,Renfrew,3,2.5,2113
295000,Beltline,2,1,752
849900,,3,2.5,2467
350000,Shaganappi,2,2,814
185000,Millrise,1,1,631
799900,Bowness,4,3.5,2020
369000,Beltline,2,2,849
1800000,Springbank Hill,3,3.5,2885
295000,Panorama Hills,2,2,976
389900,Ranchlands,3,1.5,1165
143900,Bowness,1,1,504
599000,Highland Park,3,3.5,1265
948000,Killarney/Glengarry,4,3.5,1741
739900,Walden,4,3,2220
499000,Cornerstone,4,2.5,1397
249900,Lake Bonavista,2,1,755
649000,Haysboro,5,2,1051
1995000,Glamorgan,4,3.5,2640
585000,Scenic Acres,4,3,1227
739900,Taradale,4,3.5,1952
289900,Seton,1,1,543
549900,Cornerstone,3,2.5,1398
1249900,Inglewood,6,5.5,2182
775000,Hawkwood,5,3.5,2103
625000,Hotchkiss,3,2.5,1780
339000,Lincoln Park,2,2,991
580000,Ramsay,3,2,682
469900,Sunnyside,1,1,497
499000,Eau Claire,2,2,1600
614900,Springbank Hill,3,2.5,1353
819800,Legacy,5,2.5,2592
529900,Auburn Bay,2,2.5,1541
1299000,Mahogany,6,3.5,2852
1499000,Parkdale,4,4.5,2504
550000,Taradale,4,2,1034
400000,Lower Mount Royal,2,2,1133
1375000,Lake Bonavista,4,3.5,2425
695000,Royal Oak,4,2.5,2057
239900,Saddle Ridge,2,1,707
255000,Garrison Green,1,1.5,724
1725000,Springbank Hill,6,5.5,4318
365000,Lower Mount Royal,2,2,898
269000,Edgemont,2,2,880
1299000,Richmond,3,3.5,2596
399900,Evergreen,2,2.5,1109
249000,Sunalta,1,1,591
185000,Dalhousie,1,1,624
700000,Legacy,3,2.5,1910
549900,Gladstone Gardens,2,3,1201
1149000,Chateau On The Green,3,2.5,2063
234900,Skyview Ranch,1,1,580
899000,Highland Park,2,2,885
549900,Coventry Hills,3,2,1232
455000,Downtown East Village,2,2,691
429900,Evanston Square,3,2.5,1292
1327200,Mahogany,5,3.5,3076
442000,Scarboro Park,2,1.5,1392
330000,Dalton Square,2,1,1032
535000,Cranston,3,2.5,1106
839990,Yorkville,4,2.5,2610
898800,Edgemont,5,3.5,2310
658856,Legacy,3,2.5,1610
665000,Monterey Park,6,3.5,2139
825000,Cornerstone,4,3,2270
2295000,Canyon Meadows,3,3.5,2316
699900,Thorncliffe,4,2,1046
855000,Cougar Ridge,5,3.5,2754
759000,Wolf Willow,3,2.5,2072
600000,Coventry Hills,3,2.5,1879
1899000,Eau Claire,2,2.5,2705
309900,Legacy,2,2,765
979900,Richmond,4,3.5,2155
249649,Windsor Park,2,1,1080
335000,Beltline,1,1,652
214900,Red Carpet,2,2,850
399000,Beltline,2,2,947
185000,Crescent Heights,1,1,489
889900,Patterson,2,2,2555
499000,Coach Hill,2,2,1546
1200000,Bridgeland/Riverside,8,4,1988
875000,Renfrew,4,3.5,1450
839000,Montgomery,4,3.5,1931
539900,Taradale,4,2.5,1172
549000,Forest Lawn,5,2,1112
499000,Mckenzie Towne,3,2.5,1593
1365420,Hillhurst,3,3,1342
749900,Pine Creek,3,2.5,2028
749900,Mahogany,5,3.5,1757
575000,Beddington Heights,5,2,970
356000,Beltline,1,1,521
189900,Millrise,1,1,629
2199900,Silverado,3,4.5,3076
269000,Richmond,2,1,749
249900,Dalhousie,2,1,848
325000,Dover,3,2,891
609900,Downtown Commercial Core,2,2,1022
489990,Coventry Hills,3,2.5,1346
570000,Cornerstone,3,2.5,1454
700000,Hotchkiss,3,2.5,2294
559900,Sundance,3,2.5,1557
859900,Cornerstone,4,3,2423
419900,Eau Claire,2,2,956
264999,Legacy,2,1,670
669900,Saddle Ridge,5,3.5,1509
399999,Panorama Hills,3,1.5,1176
549999,Renfrew,2,2.5,1290
235532,Dalhousie,2,1,865
239000,Forest Lawn,2,1.5,484
650000,Rosscarrock,4,3.5,1324
627900,Legacy,3,2.5,1634
765000,Kincora,5,3.5,2166
323988,Sage Hill,2,2,862
835000,Livingston,5,2.5,2266
319900,Legacy,2,2,802
594900,Ambleton,3,2.5,1640
699900,Redstone,3,2.5,1689
750000,Carrington,3,2.5,2021
549900,Beddington Heights,5,2.5,1248
649900,Panorama Hills,3,2.5,1780
295000,Sunnyside,2,1,782
359900,Downtown East Village,1,1,733
1000000,West Hillhurst,4,2,974
472000,Evanston,3,2.5,1368
674900,Hidden Valley,4,3,1155
879000,Highland Park,4,3.5,1823
650000,Tuxedo Park,4,2,837
414900,Walden,2,2.5,1162
699900,Sage Hill,5,3.5,1354
870000,Signal Hill,4,3.5,2147
745000,Killarney/Glengarry,4,3.5,1710
290000,Thorncliffe,3,1.5,1116
3599000,Rosedale,3,4.5,2217
249900,Windsor Park,2,1.5,937
155000,Chinatown,1,1,590
229900,Crescent Heights,1,1,493
479900,University District,2,1,650
339900,Hawkwood,2,2,929
2199000,Altadore,6,3.5,2769
739000,Mahogany,4,3.5,1981
829000,Brentwood,6,4,1163
1499000,Winston Heights/Mountview,4,4.5,3110
500000,Rundle,4,1,2100
1599000,Springbank Hill,4,3.5,2184
450000,Inglewood,1,1.5,928
395000,Beltline,2,2,820
569900,Hounsfield Heights/Briar Hill,2,2,1214
445000,Ogden,3,2,513
849900,Renfrew,5,3.5,1804
